Index_df1	Score_df1	ncbi_gene_id_df1	claim_name	Index_df2	Score_df2	ncbi_gene_id_df2	score_ratio
3801	0.00040140568202880986	5009	OTC	3801	0.00016757436112274822	5009	2.395388407506923
311	0.00040140568202880986	55869	HDAC8	311	0.00016757436112274822	55869	2.395388407506923
777	0.00040140568202880986	9759	HDAC4	777	0.00016757436112274822	9759	2.395388407506923
118	0.00040140568202880986	6648	SOD2	118	0.00016757436112274822	6648	2.395388407506923
1651	0.00040140568202880986	79885	HDAC11	1651	0.00016757436112274822	79885	2.395388407506923
1911	0.00040140568202880986	36	ACADSB	1911	0.00016757436112274822	36	2.395388407506923
2804	0.00040140568202880986	3953	LEPR	2804	0.00016757436112274822	3953	2.395388407506923
2602	0.00040140568202880986	4158	MC2R	2602	0.00016757436112274822	4158	2.395388407506923
718	0.00040140568202880986	7494	XBP1	718	0.00016757436112274822	7494	2.395388407506923
378	0.00040140568202880986	6606	SMN1	378	0.00016757436112274822	6606	2.395388407506923
766	0.00040140568202880986	10014	HDAC5	766	0.00016757436112274822	10014	2.395388407506923
396	0.00039261470252754336	3553	IL1B	396	0.00016757436112274822	3553	2.342928237333115
3301	0.00039261470252754336	3628	INPP1	3301	0.00016757436112274822	3628	2.342928237333115
769	0.00039261470252754336	108	ADCY2	769	0.00016757436112274822	108	2.342928237333115
2805	0.00039261470252754336	283635	FAM177A1	2805	0.00016757436112274822	283635	2.342928237333115
839	0.00039261470252754336	2796	GNRH1	839	0.00016757436112274822	2796	2.342928237333115
3186	0.00039261470252754336	79529	OR52J2P	3186	0.00016757436112274822	79529	2.342928237333115
896	0.00039261470252754336	2053	EPHX2	896	0.00016757436112274822	2053	2.342928237333115
3183	0.00039261470252754336	57476	GRAMD1B	3183	0.00016757436112274822	57476	2.342928237333115
642	0.00039261470252754336	1432	MAPK14	642	0.00016757436112274822	1432	2.342928237333115
1301	0.00039261470252754336	1385	CREB1	1301	0.00016757436112274822	1385	2.342928237333115
2165	0.00039261470252754336	818	CAMK2G	2165	0.00016757436112274822	818	2.342928237333115
184	0.00039261470252754336	4780	NFE2L2	184	0.00016757436112274822	4780	2.342928237333115
2188	0.00039261470252754336	339896	GADL1	2188	0.00016757436112274822	339896	2.342928237333115
926	0.00039261470252754336	7166	TPH1	926	0.00016757436112274822	7166	2.342928237333115
862	0.00039261470252754336	4609	MYC	862	0.00016757436112274822	4609	2.342928237333115
3865	0.00039261470252754336	4005	LMO2	3865	0.00016757436112274822	4005	2.342928237333115
1731	0.00039261470252754336	107	ADCY1	1731	0.00016757436112274822	107	2.342928237333115
477	0.00039261470252754336	4353	MPO	477	0.00016757436112274822	4353	2.342928237333115
320	0.00039261470252754336	2670	GFAP	320	0.00016757436112274822	2670	2.342928237333115
1733	0.00039261470252754336	119679	OR52J3	1733	0.00016757436112274822	119679	2.342928237333115
330	0.00039261470252754336	51252	FAM178B	330	0.00016757436112274822	51252	2.342928237333115
1001	0.00039261470252754336	613	BCR	1001	0.00016757436112274822	613	2.342928237333115
903	0.00039261470252754336	10369	CACNG2	903	0.00016757436112274822	10369	2.342928237333115
2952	0.00039261470252754336	283446	MYO1H	2952	0.00016757436112274822	283446	2.342928237333115
