ncbi_gene_id,Index,Score,claim_name
2247,7479,0.00015640841,FGF2
891,21766,0.00015592323,CCNB1
5728,15167,0.00015523341,PTEN
4067,11952,0.00015464326,LYN
2549,11638,0.00015438095,GAB1
581,16890,0.00015396367,BAX
3320,9548,0.00015302043,HSP90AA1
1027,1799,0.00015262031,CDKN1B
5747,15492,0.00015252882,PTK2
6655,17001,0.00015243296,SOS2
1019,1492,0.00015068783,CDK4
4193,11517,0.00015058921,MDM2
4233,11628,0.00014997502,MET
3667,10869,0.00014805386,IRS1
5515,14971,0.00014744225,PPP2CA
867,20811,0.00014743723,CBL
894,21298,0.00014723527,CCND2
890,22641,0.00014690861,CCNA2
6416,17700,0.00014681774,MAP2K4
842,21795,0.00014666126,CASP9
4214,15385,0.00014658818,MAP3K1
5111,14688,0.00014649391,PCNA
5054,13504,0.00014596173,SERPINE1
4088,11362,0.00014590901,SMAD3
2064,5616,0.0001438602,ERBB2
5156,13655,0.00014366324,PDGFRA
5580,15237,0.00014334943,PRKCD
898,22083,0.0001427116,CCNE1
2260,6002,0.00014241775,FGFR1
1647,7889,0.00014181685,GADD45A
3480,9872,0.00014169686,IGF1R
5698,16416,0.00014028275,PSMB9
841,22064,0.00014027068,CASP8
1839,6459,0.00014019354,HBEGF
3065,9854,0.00014005126,HDAC1
1029,1556,0.00014002467,CDKN2A
5696,16232,0.00013980587,PSMB8
1958,9560,0.00013963152,EGR1
6198,15880,0.00013946806,RPS6KB1
5608,15315,0.0001394023,MAP2K6
355,10377,0.00013931631,FAS
5743,16014,0.00013905129,PTGS2
3932,11324,0.00013816242,LCK
5606,17295,0.00013811646,MAP2K3
5684,17238,0.00013810633,PSMA3
5568,14885,0.00013746992,PRKACG
7042,17837,0.00013714956,TGFB2
7846,18557,0.00013689797,TUBA1A
7280,18199,0.00013688233,TUBB2A
7979,20965,0.00013661366,SEM1
4318,12753,0.00013652047,MMP9
7057,18285,0.00013622033,THBS1
5693,15390,0.00013603488,PSMB5
5714,16921,0.00013577855,PSMD8
5600,14659,0.00013567637,MAPK11
5602,14853,0.00013549378,MAPK10
4089,11796,0.00013538473,SMAD4
23236,7283,0.00013536599,PLCB1
598,16315,0.00013533593,BCL2L1
1386,6843,0.0001348334,ATF2
7277,17965,0.00013470027,TUBA4A
999,24914,0.00013464842,CDH1
5692,16771,0.00013432982,PSMB4
5690,16395,0.00013428286,PSMB2
5686,15345,0.00013426981,PSMA5
10213,3204,0.0001342244,PSMD14
2309,8816,0.00013418718,FOXO3
5683,14879,0.00013408369,PSMA2
5717,17499,0.000133488,PSMD11
5706,17233,0.00013337881,PSMC6
5336,13258,0.00013323232,PLCG2
