ncbi_gene_id,Index,Score,claim_name
983,22273,0.00017813129,CDK1
6776,18352,0.00017810268,STAT5A
1499,5010,0.0001780111,CTNNB1
801,20166,0.00017794046,CALM1
2033,7910,0.00017725845,EP300
3576,10146,0.00017662365,CXCL8
8503,20587,0.00017525557,PIK3R3
5925,16993,0.00017377072,RB1
572,16553,0.00017368217,BAD
998,22750,0.00016804885,CDC42
5601,15534,0.00016719599,MAPK9
1869,5730,0.00016635876,E2F1
2002,8956,0.00016414536,ELK1
1387,5613,0.0001636851,CREBBP
6777,19182,0.00016264831,STAT5B
2335,8083,0.00016198179,FN1
836,19932,0.00016122762,CASP3
5170,14557,0.00016072155,PDPK1
3688,10635,0.000160296,ITGB1
1017,1796,0.0001581447,CDK2
3553,10310,0.00015791168,IL1B
5058,13827,0.00015688107,PAK1
5566,14412,0.0001566689,PRKACA
5567,17279,0.0001566125,PRKACB
891,21766,0.00015593915,CCNB1
4067,11952,0.00015561374,LYN
2247,7479,0.00015547247,FGF2
2549,11638,0.00015440365,GAB1
5728,15167,0.00015411363,PTEN
3320,9548,0.00015303832,HSP90AA1
5747,15492,0.00015254856,PTK2
581,16890,0.00015247619,BAX
6655,17001,0.00015246417,SOS2
1027,1799,0.00015151812,CDKN1B
1019,1492,0.0001507055,CDK4
4233,11628,0.00014999353,MET
4193,11517,0.0001496838,MDM2
5515,14971,0.00014745987,PPP2CA
894,21298,0.00014725015,CCND2
3667,10869,0.0001471671,IRS1
6416,17700,0.00014683808,MAP2K4
842,21795,0.00014667904,CASP9
4214,15385,0.00014660816,MAP3K1
867,20811,0.000146555,CBL
5111,14688,0.00014650743,PCNA
890,22641,0.00014602301,CCNA2
5054,13504,0.0001450811,SERPINE1
4088,11362,0.00014503242,SMAD3
5156,13655,0.00014368011,PDGFRA
5580,15237,0.00014336666,PRKCD
898,22083,0.00014272648,CCNE1
2064,5616,0.00014262028,ERBB2
2260,6002,0.0001424345,FGFR1
1647,7889,0.00014183074,GADD45A
3065,9854,0.00014092746,HDAC1
3480,9872,0.00014084617,IGF1R
355,10377,0.00014037668,FAS
5698,16416,0.00014029711,PSMB9
841,22064,0.00014028659,CASP8
1839,6459,0.0001402091,HBEGF
5696,16232,0.00013982023,PSMB8
1958,9560,0.0001396457,EGR1
6198,15880,0.00013948647,RPS6KB1
5608,15315,0.00013941994,MAP2K6
1029,1556,0.00013918169,CDKN2A
5743,16014,0.00013821223,PTGS2
3932,11324,0.00013817861,LCK
5606,17295,0.0001381332,MAP2K3
5684,17238,0.00013812077,PSMA3
5568,14885,0.00013748596,PRKACG
7042,17837,0.0001371634,TGFB2
7979,20965,0.00013662777,SEM1
4318,12753,0.00013653509,MMP9
7057,18285,0.0001362326,THBS1
7846,18557,0.00013607097,TUBA1A
5693,15390,0.00013604898,PSMB5
7280,18199,0.00013586695,TUBB2A
5714,16921,0.00013579264,PSMD8
5600,14659,0.00013569336,MAPK11
5602,14853,0.00013551093,MAPK10
23236,7283,0.00013538149,PLCB1
598,16315,0.00013535112,BCL2L1
10213,3204,0.0001350651,PSMD14
1386,6843,0.00013484877,ATF2
999,24914,0.00013466201,CDH1
4089,11796,0.00013456913,SMAD4
5692,16771,0.00013434367,PSMB4
5690,16395,0.00013429673,PSMB2
5686,15345,0.00013428362,PSMA5
2309,8816,0.00013420255,FOXO3
5683,14879,0.00013409756,PSMA2
7277,17965,0.00013388638,TUBA4A
5717,17499,0.00013350172,PSMD11
5706,17233,0.00013339256,PSMC6
5336,13258,0.00013324799,PLCG2
6347,18207,0.00013311977,CCL2
3708,13448,0.00013299526,ITPR1
5694,16784,0.0001329418,PSMB6
5718,16375,0.00013289294,PSMD12
5708,17420,0.00013273189,PSMD2
7852,18312,0.00013270078,CXCR4
6696,18800,0.0001326571,SPP1
960,22266,0.00013252105,CD44
5687,15345,0.00013241693,PSMA6
1277,5480,0.00013218807,COL1A1
60,16945,0.00013212221,ACTB
2246,8526,0.00013206151,FGF1
5682,16316,0.00013184342,PSMA1
857,20503,0.00013180646,CAV1
5695,16212,0.00013179022,PSMB7
7153,17665,0.00013168946,TOP2A
5691,17128,0.00013164812,PSMB3
