ncbi_gene_id,Index,Score,claim_name
6606,17321,0.00043806114,SMN1
6607,17028,0.00043591374,SMN2
1813,5163,0.0004170606,DRD2
23435,7302,0.00041650495,TARDBP
5347,13858,0.00041017705,PLK1
7849,19759,0.00040368875,PAX8
9367,21627,0.00039776147,RAB9A
5468,13485,0.00039578715,PPARG
4306,11691,0.00038677437,NR3C2
4864,12562,0.0003863688,NPC1
5893,15553,0.000379864,RAD52
8856,21043,0.00037836103,NR1I2
5999,15628,0.00035006297,RGS4
3576,10146,0.0003496271,CXCL8
369,10436,0.0003446998,ARAF
2100,6624,0.00034439983,ESR2
3358,9826,0.0003269463,HTR2C
317,9332,0.00032513432,APAF1
2475,7055,0.00032209136,MTOR
2539,7124,0.00031217613,G6PD
9971,21998,0.00031142627,NR1H4
641,16291,0.00030673493,BLM
4790,12176,0.00030586898,NFKB1
627,16106,0.0003046875,BDNF
301,9531,0.00030081093,ANXA1
7066,18145,0.00029665136,THPO
247,7567,0.00029561226,ALOX15B
1577,4863,0.00028880846,CYP3A5
3269,9463,0.00028609735,HRH1
29127,9074,0.00027595847,RACGAP1
2671,8054,0.0002744299,GFER
55775,15072,0.00027222058,TDP1
5617,15390,0.0002677768,PRL
5743,16014,0.00026235628,PTGS2
2554,7366,0.00026188092,GABRA1
4286,11782,0.00025769812,MITF
60489,16397,0.00025649182,APOBEC3G
2555,7113,0.00025604243,GABRA2
5742,15089,0.0002519818,PTGS1
2556,7592,0.0002517844,GABRA3
5465,13887,0.0002502046,PPARA
148,4328,0.00024771047,ADRA1A
3315,9624,0.0002468919,HSPB1
7486,19482,0.00024623072,WRN
154,4659,0.0002460932,ADRB2
3356,9879,0.0002453482,HTR2A
2548,7638,0.00024505417,GAA
8438,20301,0.00024417636,RAD54L
2567,7360,0.0002437713,GABRG3
1,169,0.00024339574,A1BG
2560,7904,0.0002426996,GABRB1
2566,7346,0.00024224332,GABRG2
9970,23606,0.00023617614,NR1I3
2558,7196,0.00023603649,GABRA5
2559,7369,0.00023556543,GABRA6
2561,7483,0.00023387345,GABRB2
2557,7595,0.000233827,GABRA4
2562,7669,0.00023046129,GABRB3
5290,13306,0.00022953871,PIK3CA
13,3638,0.00022892072,AADAC
2568,7104,0.00022881108,GABRP
146,4194,0.00022872961,ADRA1D
2564,7140,0.00022859978,GABRE
1128,2664,0.00022846648,CHRM1
2565,7131,0.00022739038,GABRG1
3725,10092,0.00022664413,JUN
26013,8021,0.0002260533,L3MBTL1
55879,14690,0.00022534358,GABRQ
14,4605,0.0002252538,AAMP
2563,7295,0.00022502814,GABRD
554,15173,0.00022486526,AVPR2
6331,16479,0.00022095206,SCN5A
15,4892,0.00021968936,AANAT
16,6101,0.00021946002,AARS1
7153,17665,0.00021800256,TOP2A
6530,17082,0.00021671226,SLC6A2
3921,10971,0.00021414403,RPSA
6532,16965,0.00021269711,SLC6A4
1131,3142,0.00020857927,CHRM3
1588,5507,0.00020712322,CYP19A1
1814,5386,0.00020626922,DRD3
1636,5596,0.00020310216,ACE
153,4523,0.0002022358,ADRB1
2744,8327,0.0002018325,GLS
64979,16766,0.00020078247,MRPL36
8484,20712,0.0002003504,GALR3
262,7783,0.00020019469,AMD1
147,4314,0.00019936754,ADRA1B
4988,12553,0.00019931473,OPRM1
